Make,Model,Year,Problem,Symptoms,Solution,Cost,Difficulty
Chevrolet,Camaro,2022,Brake Issues,Increased stopping distance,Replace brake pads,$252,Medium
Mercedes,C-Class,2011,Cooling System Issues,"Burning smell, Engine overheating, Coolant leakage",Replace water pump,$318,Medium
Chevrolet,Camaro,2017,Suspension Issues,"Car swaying, Squeaking noise from underneath",Inspect suspension system,$624,Hard
Hyundai,Sonata,2021,Dead Battery,Weak sound when starting,Charge the battery,$153,Easy
Chevrolet,Camaro,2016,Engine Oil Leak,"Oil spots under the car, Burning smell",Fix the leak,$422,Medium
Ford,F-150,2006,Suspension Issues,"Squeaking noise from underneath, Car swaying",Replace shock absorbers,$744,Hard
BMW,X5,2014,Brake Issues,"Squeaking when braking, Steering wheel vibration",Inspect brake system,$370,Medium
Ford,F-150,2018,Suspension Issues,Car swaying,Inspect suspension system,$985,Hard
Chevrolet,Camaro,2012,Brake Issues,"Squeaking when braking, Increased stopping distance, Steering wheel vibration",Replace brake pads,$373,Medium
Kia,Sportage,2020,Faulty Spark Plugs,Engine vibration,Replace spark plugs,$149,Easy
BMW,X5,2020,Dead Battery,Weak sound when starting,Charge the battery,$119,Easy
BMW,X5,2020,Cooling System Issues,"Coolant leakage, Burning smell, Engine overheating",Inspect cooling system,$338,Medium
Ford,F-150,2019,Electrical System Issues,"Weak battery charging, Warning light on dashboard, Failure to turn on lights",Inspect electrical wiring,$256,Medium
Ford,F-150,2019,Suspension Issues,"Car vibration over bumps, Squeaking noise from underneath",Inspect suspension system,$594,Hard
Mercedes,C-Class,2013,Dead Battery,"Weak sound when starting, Car won't start",Charge the battery,$157,Easy
Ford,F-150,2008,Suspension Issues,"Squeaking noise from underneath, Car swaying, Car vibration over bumps",Replace shock absorbers,$456,Hard
Kia,Sportage,2018,Suspension Issues,"Car vibration over bumps, Squeaking noise from underneath, Car swaying",Replace shock absorbers,$667,Hard
Ford,F-150,2018,Faulty Spark Plugs,"Poor acceleration, Engine vibration",Replace spark plugs,$270,Easy
Audi,A4,2018,Electrical System Issues,"Failure to turn on lights, Weak battery charging, Warning light on dashboard",Replace fuses,$295,Medium
BMW,X5,2014,Exhaust System Issues,"Loud exhaust noise, Black smoke emission, Strong fuel smell",Replace catalytic converter,$1101,Hard
Nissan,Patrol,2015,Faulty Spark Plugs,"Increased fuel consumption, Engine vibration, Poor acceleration",Replace spark plugs,$143,Easy
Hyundai,Sonata,2019,Cooling System Issues,"Burning smell, Coolant leakage",Inspect cooling system,$625,Medium
Kia,Sportage,2019,Tire Issues,"Low tire pressure, Car vibration",Balance tires,$273,Easy
Honda,Civic,2021,Dead Battery,"Dim lights, Car won't start",Charge the battery,$80,Easy
Audi,A4,2020,Tire Issues,Low tire pressure,Balance tires,$162,Easy
Hyundai,Sonata,2018,Brake Issues,Increased stopping distance,Replace brake pads,$355,Medium
Honda,Civic,2016,Cooling System Issues,"Burning smell, Engine overheating, Coolant leakage",Inspect cooling system,$400,Medium
Kia,Sportage,2014,Suspension Issues,Car swaying,Inspect suspension system,$599,Hard
Ford,F-150,2019,Brake Issues,Squeaking when braking,Replace brake pads,$158,Medium
BMW,X5,2022,Brake Issues,"Increased stopping distance, Squeaking when braking",Inspect brake system,$289,Medium
Hyundai,Sonata,2011,Engine Oil Leak,"Low oil level, Oil spots under the car, Burning smell",Fix the leak,$216,Medium
Toyota,Corolla,2016,Faulty Spark Plugs,Engine vibration,Replace spark plugs,$148,Easy
Ford,F-150,2016,Faulty Spark Plugs,"Increased fuel consumption, Engine vibration",Replace spark plugs,$181,Easy
Nissan,Patrol,2006,Engine Oil Leak,Burning smell,Fix the leak,$431,Medium
Honda,Civic,2011,Dead Battery,Dim lights,Charge the battery,$197,Easy
Toyota,Corolla,2020,Exhaust System Issues,"Black smoke emission, Loud exhaust noise",Inspect exhaust system,$713,Hard
Toyota,Corolla,2023,Engine Oil Leak,"Burning smell, Low oil level",Replace gaskets,$555,Medium
Nissan,Patrol,2022,Tire Issues,"Uneven tire wear, Car vibration",Replace tires,$271,Easy
Ford,F-150,2011,Exhaust System Issues,"Black smoke emission, Loud exhaust noise",Replace catalytic converter,$829,Hard
Ford,F-150,2014,Faulty Spark Plugs,Poor acceleration,Replace spark plugs,$128,Easy
BMW,X5,2019,Cooling System Issues,"Coolant leakage, Burning smell, Engine overheating",Replace water pump,$759,Medium
Chevrolet,Camaro,2018,Suspension Issues,Squeaking noise from underneath,Replace shock absorbers,$556,Hard
Honda,Civic,2022,Dead Battery,Weak sound when starting,Replace the battery,$180,Easy
Nissan,Patrol,2019,Electrical System Issues,"Weak battery charging, Warning light on dashboard, Failure to turn on lights",Inspect electrical wiring,$361,Medium
BMW,X5,2023,Engine Oil Leak,"Oil spots under the car, Low oil level",Fix the leak,$560,Medium
BMW,X5,2016,Engine Oil Leak,"Low oil level, Oil spots under the car",Fix the leak,$517,Medium
Toyota,Corolla,2020,Suspension Issues,"Car swaying, Squeaking noise from underneath",Replace shock absorbers,$753,Hard
Toyota,Corolla,2015,Tire Issues,"Uneven tire wear, Low tire pressure, Car vibration",Replace tires,$266,Easy
BMW,X5,2011,Brake Issues,"Steering wheel vibration, Increased stopping distance",Replace brake pads,$201,Medium
Kia,Sportage,2011,Exhaust System Issues,Black smoke emission,Inspect exhaust system,$966,Hard
Nissan,Patrol,2015,Tire Issues,"Low tire pressure, Uneven tire wear, Car vibration",Balance tires,$192,Easy
Nissan,Patrol,2002,Faulty Spark Plugs,Engine vibration,Replace spark plugs,$109,Easy
Kia,Sportage,2023,Tire Issues,Uneven tire wear,Balance tires,$250,Easy
Audi,A4,2019,Engine Oil Leak,"Oil spots under the car, Low oil level, Burning smell",Replace gaskets,$385,Medium
Audi,A4,2018,Tire Issues,"Car vibration, Low tire pressure, Uneven tire wear",Balance tires,$249,Easy
Hyundai,Sonata,2012,Cooling System Issues,Coolant leakage,Replace water pump,$467,Medium
Hyundai,Sonata,2011,Electrical System Issues,"Failure to turn on lights, Warning light on dashboard",Replace fuses,$237,Medium
Mercedes,C-Class,2023,Engine Oil Leak,"Oil spots under the car, Low oil level, Burning smell",Replace gaskets,$353,Medium
Ford,F-150,2014,Exhaust System Issues,"Black smoke emission, Loud exhaust noise",Inspect exhaust system,$806,Hard
Toyota,Corolla,2022,Tire Issues,"Uneven tire wear, Low tire pressure",Replace tires,$284,Easy
Ford,F-150,2018,Cooling System Issues,"Engine overheating, Burning smell",Replace water pump,$535,Medium
Audi,A4,2023,Electrical System Issues,"Failure to turn on lights, Weak battery charging, Warning light on dashboard",Inspect electrical wiring,$389,Medium
Hyundai,Sonata,2023,Cooling System Issues,"Burning smell, Engine overheating, Coolant leakage",Inspect cooling system,$375,Medium
BMW,X5,2014,Cooling System Issues,"Engine overheating, Coolant leakage, Burning smell",Replace water pump,$551,Medium
Honda,Civic,2013,Cooling System Issues,"Engine overheating, Burning smell",Replace water pump,$734,Medium
Toyota,Corolla,2019,Exhaust System Issues,"Loud exhaust noise, Black smoke emission",Replace catalytic converter,$938,Hard
Mercedes,C-Class,2012,Tire Issues,"Car vibration, Uneven tire wear, Low tire pressure",Replace tires,$114,Easy
Honda,Civic,2016,Electrical System Issues,Weak battery charging,Inspect electrical wiring,$342,Medium
BMW,X5,2017,Brake Issues,"Increased stopping distance, Squeaking when braking",Inspect brake system,$275,Medium
Toyota,Corolla,2023,Electrical System Issues,"Weak battery charging, Failure to turn on lights",Replace fuses,$357,Medium
BMW,X5,2012,Dead Battery,"Dim lights, Weak sound when starting, Car won't start",Charge the battery,$167,Easy
Mercedes,C-Class,2011,Brake Issues,"Squeaking when braking, Steering wheel vibration, Increased stopping distance",Replace brake pads,$364,Medium
BMW,X5,2023,Electrical System Issues,Weak battery charging,Replace fuses,$497,Medium
Nissan,Patrol,2019,Engine Oil Leak,Burning smell,Replace gaskets,$202,Medium
Hyundai,Sonata,2020,Brake Issues,Squeaking when braking,Inspect brake system,$368,Medium
Toyota,Corolla,2015,Exhaust System Issues,"Strong fuel smell, Black smoke emission, Loud exhaust noise",Replace catalytic converter,$608,Hard
Nissan,Patrol,2009,Faulty Spark Plugs,Engine vibration,Replace spark plugs,$272,Easy
BMW,X5,2019,Exhaust System Issues,"Strong fuel smell, Loud exhaust noise",Inspect exhaust system,$626,Hard
Audi,A4,2020,Electrical System Issues,"Warning light on dashboard, Failure to turn on lights",Replace fuses,$177,Medium
Ford,F-150,2006,Tire Issues,"Car vibration, Uneven tire wear, Low tire pressure",Replace tires,$159,Easy
Toyota,Corolla,2023,Brake Issues,"Increased stopping distance, Steering wheel vibration",Replace brake pads,$394,Medium
BMW,X5,2011,Engine Oil Leak,"Oil spots under the car, Burning smell",Replace gaskets,$486,Medium
Mercedes,C-Class,2023,Brake Issues,"Increased stopping distance, Steering wheel vibration, Squeaking when braking",Replace brake pads,$205,Medium
BMW,X5,2014,Engine Oil Leak,"Low oil level, Oil spots under the car",Replace gaskets,$512,Medium
Ford,F-150,2008,Engine Oil Leak,"Burning smell, Low oil level, Oil spots under the car",Replace gaskets,$565,Medium
Honda,Civic,2014,Faulty Spark Plugs,"Increased fuel consumption, Poor acceleration",Replace spark plugs,$245,Easy
BMW,X5,2014,Faulty Spark Plugs,Increased fuel consumption,Replace spark plugs,$121,Easy
BMW,X5,2019,Suspension Issues,"Car swaying, Squeaking noise from underneath",Replace shock absorbers,$655,Hard
Hyundai,Sonata,2019,Suspension Issues,Squeaking noise from underneath,Replace shock absorbers,$798,Hard
Chevrolet,Camaro,2011,Cooling System Issues,"Burning smell, Engine overheating, Coolant leakage",Replace water pump,$478,Medium
Mercedes,C-Class,2012,Faulty Spark Plugs,"Engine vibration, Poor acceleration",Replace spark plugs,$250,Easy
Chevrolet,Camaro,2016,Faulty Spark Plugs,Increased fuel consumption,Replace spark plugs,$259,Easy
Honda,Civic,2019,Suspension Issues,Squeaking noise from underneath,Inspect suspension system,$965,Hard
Honda,Civic,2015,Faulty Spark Plugs,"Poor acceleration, Engine vibration",Replace spark plugs,$237,Easy
Audi,A4,2020,Dead Battery,Car won't start,Replace the battery,$151,Easy
Honda,Civic,2023,Dead Battery,Car won't start,Replace the battery,$115,Easy
Nissan,Patrol,2016,Cooling System Issues,"Coolant leakage, Burning smell",Inspect cooling system,$330,Medium
BMW,X5,2013,Suspension Issues,Car swaying,Inspect suspension system,$912,Hard
Ford,F-150,2006,Electrical System Issues,Failure to turn on lights,Inspect electrical wiring,$488,Medium
Hyundai,Sonata,2018,Dead Battery,Dim lights,Charge the battery,$94,Easy
Audi,A4,2021,Tire Issues,Uneven tire wear,Balance tires,$195,Easy
Honda,Civic,2015,Exhaust System Issues,"Black smoke emission, Strong fuel smell, Loud exhaust noise",Inspect exhaust system,$774,Hard
Ford,F-150,2005,Tire Issues,"Low tire pressure, Car vibration, Uneven tire wear",Balance tires,$285,Easy
Chevrolet,Camaro,2013,Exhaust System Issues,Strong fuel smell,Replace catalytic converter,$971,Hard
Toyota,Corolla,2023,Exhaust System Issues,"Strong fuel smell, Loud exhaust noise",Replace catalytic converter,$598,Hard
Hyundai,Sonata,2021,Exhaust System Issues,"Strong fuel smell, Black smoke emission",Replace catalytic converter,$585,Hard
Nissan,Patrol,2004,Electrical System Issues,"Warning light on dashboard, Failure to turn on lights, Weak battery charging",Inspect electrical wiring,$239,Medium
Ford,F-150,2013,Faulty Spark Plugs,Increased fuel consumption,Replace spark plugs,$300,Easy
Toyota,Corolla,2023,Cooling System Issues,"Engine overheating, Burning smell, Coolant leakage",Inspect cooling system,$436,Medium
BMW,X5,2018,Suspension Issues,"Car vibration over bumps, Squeaking noise from underneath",Inspect suspension system,$702,Hard
Nissan,Patrol,2014,Electrical System Issues,"Failure to turn on lights, Warning light on dashboard",Inspect electrical wiring,$167,Medium
Hyundai,Sonata,2018,Dead Battery,Car won't start,Charge the battery,$170,Easy
Ford,F-150,2016,Dead Battery,"Weak sound when starting, Dim lights",Charge the battery,$187,Easy
Ford,F-150,2021,Faulty Spark Plugs,"Increased fuel consumption, Poor acceleration, Engine vibration",Replace spark plugs,$287,Easy
Mercedes,C-Class,2016,Dead Battery,Car won't start,Replace the battery,$141,Easy
Hyundai,Sonata,2020,Faulty Spark Plugs,Increased fuel consumption,Replace spark plugs,$154,Easy
Chevrolet,Camaro,2021,Cooling System Issues,Burning smell,Replace water pump,$724,Medium
Chevrolet,Camaro,2014,Exhaust System Issues,Strong fuel smell,Inspect exhaust system,$986,Hard
Nissan,Patrol,2018,Cooling System Issues,Engine overheating,Replace water pump,$457,Medium
Hyundai,Sonata,2015,Exhaust System Issues,"Loud exhaust noise, Black smoke emission",Inspect exhaust system,$817,Hard
Chevrolet,Camaro,2011,Faulty Spark Plugs,Engine vibration,Replace spark plugs,$207,Easy
Honda,Civic,2012,Cooling System Issues,Coolant leakage,Replace water pump,$623,Medium
Nissan,Patrol,2005,Dead Battery,Dim lights,Charge the battery,$127,Easy
Mercedes,C-Class,2019,Brake Issues,Increased stopping distance,Replace brake pads,$169,Medium
BMW,X5,2012,Exhaust System Issues,Loud exhaust noise,Replace catalytic converter,$1130,Hard
Toyota,Corolla,2021,Cooling System Issues,Coolant leakage,Replace water pump,$704,Medium
Audi,A4,2018,Suspension Issues,"Car vibration over bumps, Squeaking noise from underneath",Replace shock absorbers,$951,Hard
Ford,F-150,2018,Brake Issues,Increased stopping distance,Inspect brake system,$224,Medium
BMW,X5,2019,Electrical System Issues,"Failure to turn on lights, Warning light on dashboard",Inspect electrical wiring,$468,Medium
Ford,F-150,2006,Faulty Spark Plugs,"Engine vibration, Poor acceleration",Replace spark plugs,$175,Easy
Nissan,Patrol,2012,Faulty Spark Plugs,"Engine vibration, Increased fuel consumption, Poor acceleration",Replace spark plugs,$120,Easy
Honda,Civic,2020,Dead Battery,Dim lights,Replace the battery,$57,Easy
Ford,F-150,2015,Dead Battery,Car won't start,Charge the battery,$180,Easy
Hyundai,Sonata,2019,Dead Battery,"Car won't start, Dim lights",Charge the battery,$88,Easy
Mercedes,C-Class,2021,Exhaust System Issues,"Black smoke emission, Strong fuel smell, Loud exhaust noise",Inspect exhaust system,$1014,Hard
Honda,Civic,2012,Dead Battery,"Car won't start, Weak sound when starting, Dim lights",Charge the battery,$77,Easy
Chevrolet,Camaro,2023,Brake Issues,"Squeaking when braking, Steering wheel vibration, Increased stopping distance",Inspect brake system,$260,Medium
Mercedes,C-Class,2021,Faulty Spark Plugs,"Poor acceleration, Engine vibration",Replace spark plugs,$138,Easy
BMW,X5,2023,Dead Battery,"Car won't start, Weak sound when starting",Charge the battery,$200,Easy
Honda,Civic,2023,Cooling System Issues,"Burning smell, Engine overheating, Coolant leakage",Inspect cooling system,$406,Medium
Honda,Civic,2015,Faulty Spark Plugs,"Increased fuel consumption, Poor acceleration, Engine vibration",Replace spark plugs,$234,Easy
BMW,X5,2022,Engine Oil Leak,"Oil spots under the car, Low oil level, Burning smell",Replace gaskets,$559,Medium
Kia,Sportage,2018,Tire Issues,"Low tire pressure, Uneven tire wear, Car vibration",Balance tires,$260,Easy
BMW,X5,2018,Engine Oil Leak,"Oil spots under the car, Burning smell, Low oil level",Fix the leak,$358,Medium
Toyota,Corolla,2017,Suspension Issues,"Car swaying, Car vibration over bumps, Squeaking noise from underneath",Replace shock absorbers,$819,Hard
Ford,F-150,2022,Electrical System Issues,Warning light on dashboard,Inspect electrical wiring,$485,Medium
Honda,Civic,2010,Engine Oil Leak,Burning smell,Fix the leak,$271,Medium
Kia,Sportage,2015,Tire Issues,Car vibration,Balance tires,$171,Easy
Kia,Sportage,2010,Brake Issues,"Steering wheel vibration, Increased stopping distance, Squeaking when braking",Inspect brake system,$188,Medium
Nissan,Patrol,2005,Engine Oil Leak,"Burning smell, Low oil level",Fix the leak,$275,Medium
Mercedes,C-Class,2014,Electrical System Issues,"Failure to turn on lights, Warning light on dashboard",Inspect electrical wiring,$495,Medium
BMW,X5,2013,Suspension Issues,Car swaying,Inspect suspension system,$925,Hard
Nissan,Patrol,2010,Engine Oil Leak,"Oil spots under the car, Burning smell",Fix the leak,$327,Medium
Audi,A4,2021,Electrical System Issues,"Weak battery charging, Warning light on dashboard",Inspect electrical wiring,$299,Medium
Mercedes,C-Class,2013,Electrical System Issues,"Warning light on dashboard, Weak battery charging",Replace fuses,$390,Medium
Audi,A4,2011,Faulty Spark Plugs,"Increased fuel consumption, Poor acceleration",Replace spark plugs,$195,Easy
Chevrolet,Camaro,2014,Brake Issues,Increased stopping distance,Replace brake pads,$399,Medium
Mercedes,C-Class,2012,Cooling System Issues,"Coolant leakage, Engine overheating, Burning smell",Replace water pump,$681,Medium
Honda,Civic,2011,Dead Battery,Weak sound when starting,Charge the battery,$71,Easy
Ford,F-150,2020,Brake Issues,"Squeaking when braking, Increased stopping distance",Inspect brake system,$340,Medium
Honda,Civic,2016,Tire Issues,"Car vibration, Uneven tire wear",Balance tires,$182,Easy
Audi,A4,2021,Dead Battery,"Car won't start, Weak sound when starting",Replace the battery,$131,Easy
Honda,Civic,2022,Suspension Issues,"Car swaying, Car vibration over bumps, Squeaking noise from underneath",Inspect suspension system,$584,Hard
Hyundai,Sonata,2015,Brake Issues,Increased stopping distance,Inspect brake system,$208,Medium
Mercedes,C-Class,2010,Cooling System Issues,"Engine overheating, Burning smell, Coolant leakage",Inspect cooling system,$681,Medium
BMW,X5,2019,Tire Issues,"Car vibration, Uneven tire wear",Replace tires,$155,Easy
Honda,Civic,2021,Electrical System Issues,"Failure to turn on lights, Weak battery charging",Replace fuses,$304,Medium
Hyundai,Sonata,2018,Engine Oil Leak,Burning smell,Fix the leak,$560,Medium
Mercedes,C-Class,2015,Engine Oil Leak,"Low oil level, Oil spots under the car",Replace gaskets,$230,Medium
Toyota,Corolla,2021,Electrical System Issues,"Weak battery charging, Warning light on dashboard, Failure to turn on lights",Inspect electrical wiring,$116,Medium
Honda,Civic,2018,Cooling System Issues,"Coolant leakage, Engine overheating, Burning smell",Inspect cooling system,$384,Medium
Mercedes,C-Class,2011,Dead Battery,Car won't start,Replace the battery,$117,Easy
Nissan,Patrol,2015,Cooling System Issues,"Burning smell, Engine overheating",Inspect cooling system,$692,Medium
Audi,A4,2019,Exhaust System Issues,"Loud exhaust noise, Strong fuel smell",Inspect exhaust system,$596,Hard
Ford,F-150,2017,Suspension Issues,Car vibration over bumps,Replace shock absorbers,$941,Hard
Toyota,Corolla,2017,Electrical System Issues,"Weak battery charging, Warning light on dashboard, Failure to turn on lights",Replace fuses,$216,Medium
Hyundai,Sonata,2014,Exhaust System Issues,Strong fuel smell,Replace catalytic converter,$1060,Hard
Toyota,Corolla,2020,Electrical System Issues,Warning light on dashboard,Inspect electrical wiring,$319,Medium
Ford,F-150,2005,Brake Issues,"Increased stopping distance, Squeaking when braking, Steering wheel vibration",Inspect brake system,$158,Medium
Chevrolet,Camaro,2010,Tire Issues,Car vibration,Replace tires,$111,Easy
Nissan,Patrol,2009,Electrical System Issues,"Weak battery charging, Warning light on dashboard",Inspect electrical wiring,$250,Medium
Mercedes,C-Class,2011,Dead Battery,Weak sound when starting,Charge the battery,$131,Easy
Honda,Civic,2014,Faulty Spark Plugs,Engine vibration,Replace spark plugs,$271,Easy
Honda,Civic,2019,Dead Battery,"Dim lights, Car won't start",Charge the battery,$100,Easy
BMW,X5,2018,Electrical System Issues,"Weak battery charging, Warning light on dashboard",Inspect electrical wiring,$274,Medium
BMW,X5,2015,Dead Battery,"Dim lights, Weak sound when starting",Replace the battery,$196,Easy
Audi,A4,2013,Faulty Spark Plugs,"Engine vibration, Increased fuel consumption, Poor acceleration",Replace spark plugs,$290,Easy
Toyota,Corolla,2016,Tire Issues,"Uneven tire wear, Low tire pressure",Balance tires,$268,Easy
Audi,A4,2016,Tire Issues,"Car vibration, Low tire pressure, Uneven tire wear",Balance tires,$82,Easy
Toyota,Corolla,2015,Suspension Issues,"Squeaking noise from underneath, Car vibration over bumps, Car swaying",Replace shock absorbers,$517,Hard
Nissan,Patrol,2007,Faulty Spark Plugs,"Engine vibration, Increased fuel consumption, Poor acceleration",Replace spark plugs,$190,Easy
Mercedes,C-Class,2020,Brake Issues,"Squeaking when braking, Increased stopping distance",Inspect brake system,$386,Medium
Audi,A4,2010,Engine Oil Leak,"Burning smell, Low oil level, Oil spots under the car",Fix the leak,$598,Medium
Nissan,Patrol,2000,Electrical System Issues,"Failure to turn on lights, Weak battery charging",Inspect electrical wiring,$206,Medium
Hyundai,Sonata,2018,Tire Issues,"Low tire pressure, Uneven tire wear, Car vibration",Replace tires,$198,Easy
Honda,Civic,2016,Dead Battery,"Weak sound when starting, Dim lights",Charge the battery,$123,Easy
Honda,Civic,2017,Brake Issues,"Squeaking when braking, Increased stopping distance, Steering wheel vibration",Replace brake pads,$154,Medium
Ford,F-150,2021,Engine Oil Leak,"Low oil level, Burning smell, Oil spots under the car",Fix the leak,$484,Medium
Kia,Sportage,2019,Faulty Spark Plugs,Engine vibration,Replace spark plugs,$255,Easy
BMW,X5,2013,Faulty Spark Plugs,"Engine vibration, Poor acceleration, Increased fuel consumption",Replace spark plugs,$107,Easy
Toyota,Corolla,2023,Engine Oil Leak,Burning smell,Fix the leak,$420,Medium
Nissan,Patrol,2017,Electrical System Issues,Warning light on dashboard,Replace fuses,$374,Medium
Honda,Civic,2011,Exhaust System Issues,"Black smoke emission, Strong fuel smell, Loud exhaust noise",Replace catalytic converter,$708,Hard
Toyota,Corolla,2021,Exhaust System Issues,Strong fuel smell,Inspect exhaust system,$1171,Hard
Toyota,Corolla,2022,Cooling System Issues,Coolant leakage,Replace water pump,$548,Medium
Mercedes,C-Class,2010,Engine Oil Leak,Burning smell,Replace gaskets,$505,Medium
Honda,Civic,2011,Engine Oil Leak,"Burning smell, Oil spots under the car",Fix the leak,$554,Medium
Nissan,Patrol,2018,Engine Oil Leak,"Low oil level, Oil spots under the car",Replace gaskets,$572,Medium
Audi,A4,2014,Exhaust System Issues,"Loud exhaust noise, Black smoke emission, Strong fuel smell",Replace catalytic converter,$1113,Hard
Ford,F-150,2011,Electrical System Issues,"Failure to turn on lights, Weak battery charging, Warning light on dashboard",Inspect electrical wiring,$188,Medium
Hyundai,Sonata,2016,Faulty Spark Plugs,"Increased fuel consumption, Engine vibration",Replace spark plugs,$200,Easy
Mercedes,C-Class,2013,Engine Oil Leak,Low oil level,Fix the leak,$410,Medium
Honda,Civic,2014,Dead Battery,Car won't start,Charge the battery,$122,Easy
Honda,Civic,2015,Engine Oil Leak,Low oil level,Replace gaskets,$548,Medium
Toyota,Corolla,2023,Exhaust System Issues,"Black smoke emission, Loud exhaust noise",Inspect exhaust system,$747,Hard
Nissan,Patrol,2022,Brake Issues,"Squeaking when braking, Increased stopping distance",Replace brake pads,$150,Medium
Honda,Civic,2023,Engine Oil Leak,Burning smell,Fix the leak,$304,Medium
Hyundai,Sonata,2019,Cooling System Issues,Coolant leakage,Replace water pump,$400,Medium
Hyundai,Sonata,2022,Cooling System Issues,"Engine overheating, Burning smell, Coolant leakage",Replace water pump,$669,Medium
Mercedes,C-Class,2012,Cooling System Issues,"Engine overheating, Coolant leakage, Burning smell",Inspect cooling system,$353,Medium
Ford,F-150,2012,Cooling System Issues,"Burning smell, Engine overheating, Coolant leakage",Replace water pump,$632,Medium
Ford,F-150,2016,Tire Issues,"Car vibration, Uneven tire wear, Low tire pressure",Balance tires,$84,Easy
Chevrolet,Camaro,2017,Suspension Issues,Car vibration over bumps,Inspect suspension system,$871,Hard
Audi,A4,2016,Electrical System Issues,"Warning light on dashboard, Weak battery charging",Replace fuses,$179,Medium
Audi,A4,2012,Faulty Spark Plugs,Increased fuel consumption,Replace spark plugs,$283,Easy
BMW,X5,2019,Dead Battery,"Car won't start, Weak sound when starting, Dim lights",Replace the battery,$66,Easy
Audi,A4,2011,Exhaust System Issues,"Loud exhaust noise, Strong fuel smell",Inspect exhaust system,$767,Hard
Hyundai,Sonata,2011,Brake Issues,"Steering wheel vibration, Increased stopping distance",Replace brake pads,$350,Medium
Ford,F-150,2022,Suspension Issues,"Car vibration over bumps, Squeaking noise from underneath",Inspect suspension system,$422,Hard
Ford,F-150,2005,Dead Battery,"Car won't start, Dim lights",Charge the battery,$72,Easy
Kia,Sportage,2022,Faulty Spark Plugs,"Poor acceleration, Increased fuel consumption",Replace spark plugs,$171,Easy
Toyota,Corolla,2016,Tire Issues,"Low tire pressure, Uneven tire wear, Car vibration",Replace tires,$104,Easy
Audi,A4,2010,Faulty Spark Plugs,"Engine vibration, Increased fuel consumption, Poor acceleration",Replace spark plugs,$234,Easy
Honda,Civic,2014,Cooling System Issues,"Burning smell, Coolant leakage",Replace water pump,$344,Medium
Toyota,Corolla,2022,Faulty Spark Plugs,Engine vibration,Replace spark plugs,$112,Easy
Kia,Sportage,2014,Exhaust System Issues,"Loud exhaust noise, Black smoke emission",Replace catalytic converter,$820,Hard
Audi,A4,2023,Dead Battery,"Weak sound when starting, Dim lights, Car won't start",Replace the battery,$93,Easy
Audi,A4,2020,Cooling System Issues,Burning smell,Inspect cooling system,$496,Medium
Mercedes,C-Class,2011,Cooling System Issues,"Engine overheating, Burning smell",Inspect cooling system,$587,Medium
Hyundai,Sonata,2013,Cooling System Issues,Coolant leakage,Inspect cooling system,$386,Medium
BMW,X5,2016,Engine Oil Leak,"Burning smell, Oil spots under the car, Low oil level",Replace gaskets,$328,Medium
Honda,Civic,2021,Exhaust System Issues,"Loud exhaust noise, Strong fuel smell, Black smoke emission",Inspect exhaust system,$780,Hard
Honda,Civic,2022,Exhaust System Issues,Black smoke emission,Inspect exhaust system,$710,Hard
Ford,F-150,2018,Faulty Spark Plugs,Poor acceleration,Replace spark plugs,$110,Easy
Honda,Civic,2012,Dead Battery,"Car won't start, Dim lights, Weak sound when starting",Replace the battery,$191,Easy
Honda,Civic,2018,Suspension Issues,"Car vibration over bumps, Car swaying, Squeaking noise from underneath",Replace shock absorbers,$460,Hard
Hyundai,Sonata,2021,Engine Oil Leak,"Burning smell, Low oil level",Replace gaskets,$227,Medium
Ford,F-150,2005,Suspension Issues,"Squeaking noise from underneath, Car vibration over bumps, Car swaying",Inspect suspension system,$478,Hard
Hyundai,Sonata,2022,Exhaust System Issues,Loud exhaust noise,Replace catalytic converter,$946,Hard
BMW,X5,2015,Exhaust System Issues,Black smoke emission,Replace catalytic converter,$650,Hard
BMW,X5,2021,Exhaust System Issues,"Loud exhaust noise, Black smoke emission",Inspect exhaust system,$641,Hard
Nissan,Patrol,2001,Brake Issues,"Squeaking when braking, Increased stopping distance, Steering wheel vibration",Replace brake pads,$230,Medium
Audi,A4,2012,Engine Oil Leak,Low oil level,Fix the leak,$527,Medium
Ford,F-150,2018,Dead Battery,"Weak sound when starting, Dim lights",Charge the battery,$186,Easy
Honda,Civic,2023,Exhaust System Issues,"Loud exhaust noise, Black smoke emission, Strong fuel smell",Inspect exhaust system,$898,Hard
Honda,Civic,2018,Suspension Issues,Squeaking noise from underneath,Inspect suspension system,$875,Hard
Mercedes,C-Class,2010,Suspension Issues,Squeaking noise from underneath,Inspect suspension system,$602,Hard
Honda,Civic,2022,Cooling System Issues,"Engine overheating, Burning smell",Replace water pump,$422,Medium
Hyundai,Sonata,2015,Cooling System Issues,"Burning smell, Engine overheating",Inspect cooling system,$643,Medium
Mercedes,C-Class,2010,Brake Issues,"Increased stopping distance, Steering wheel vibration",Replace brake pads,$254,Medium
Honda,Civic,2014,Engine Oil Leak,"Burning smell, Low oil level",Replace gaskets,$580,Medium
Ford,F-150,2006,Suspension Issues,Car vibration over bumps,Replace shock absorbers,$681,Hard
Toyota,Corolla,2018,Faulty Spark Plugs,"Increased fuel consumption, Engine vibration",Replace spark plugs,$173,Easy
Honda,Civic,2017,Faulty Spark Plugs,Engine vibration,Replace spark plugs,$153,Easy
